time,timestamp,Rxx,Rxy,Rxz,Px,Ryx,Ryy,Ryz,Py,Rzx,Rzy,Rzz,Pz,R01,R02,R03,P
17.84914994,1681438657,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
17.95340991,1681438657,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
18.02854991,1681438658,0.99999547,0.00301037,0,-1.369479179,-0.00301037,0.99999547,0,1.933327913,0,0,1,0,0,0,0,1
18.12082982,1681438658,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
18.23205996,1681438658,0.999993801,0.003513956,0,-1.653771996,-0.003513956,0.999993801,0,2.600277662,0,0,1,0,0,0,0,1
18.45875001,1681438658,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
18.55345988,1681438658,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
18.72108984,1681438658,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
18.8163898,1681438658,0.999997437,0.002265505,0,-1.561808705,-0.002265505,0.999997437,0,4.347624302,0,0,1,0,0,0,0,1
18.94168997,1681438658,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
19.13028002,1681438659,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
19.22624993,1681438659,0.999996305,0.002713992,0,-2.711688757,-0.002713992,0.999996305,0,6.623204708,0,0,1,0,0,0,0,1
19.30537987,1681438659,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
19.3914299,1681438659,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
19.58632994,1681438659,0.99999547,0.00301037,0,-1.369479179,-0.00301037,0.99999547,0,1.933327913,0,0,1,0,0,0,0,1
19.66060996,1681438659,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
19.76701999,1681438659,0.999993801,0.003513956,0,-1.653771996,-0.003513956,0.999993801,0,2.600277662,0,0,1,0,0,0,0,1
19.8734498,1681438659,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
20.07525992,1681438660,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
20.19964981,1681438660,0.999998808,0.00154916,0,-0.863457024,-0.00154916,0.999998808,0,3.416320562,0,0,1,0,0,0,0,1
20.30384994,1681438660,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
20.38854003,1681438660,0.999997437,0.002265505,0,-1.561808705,-0.002265505,0.999997437,0,4.347624302,0,0,1,0,0,0,0,1
20.48520994,1681438660,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
20.69259,1681438660,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
